ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE
12892,11697,2342
13204,11697,177
13930,11697,1182
14107,11697,1972
14747,11697,2717
14771,11697,2584
10397,11721,645
11618,11721,518
13204,11721,1011
13930,11721,223
10397,11775,954
11292,11775,483
13930,11775,462
10397,11778,579
11298,11778,227
10397,11823,508
11618,11823,578
13930,11823,157
11292,11865,313
11298,11867,404
11292,11884,836
12889,11884,806
12892,11884,945
14107,11884,1020
14747,11884,224
11298,11905,140
14107,11921,438
10397,11953,300
10397,11973,352
11298,11973,500
12266,11973,376
10397,11977,774
13930,11977,173
11298,11980,561
10397,11982,803
11298,11982,134
12266,11982,166
10397,11986,640
11292,11986,1015
11618,11986,605
12266,11986,1042
13204,11986,1024
13930,11986,137
10397,11995,306
11292,11995,1370
11618,11995,445
13930,11995,589
10397,11996,153
11618,11996,594
12266,11996,837
13930,11996,577
10397,12007,241
11298,12012,678
12266,12012,886
10397,12094,1340
11292,12094,141
11298,12094,769
11618,12094,1728
12266,12094,985
12892,12094,763
13930,12094,1009
14747,12094,891
14771,12094,838
11292,12156,594
10397,12173,4502
11292,12173,3365
11298,12173,3784
11618,12173,4962
12266,12173,3904
12478,12173,4983
12889,12173,2762
12892,12173,2556
13930,12173,4243
14107,12173,2917
14747,12173,2677
14771,12173,2398
12266,12177,501
10397,12191,696
11057,12191,920
11292,12191,883
11298,12191,247
12478,12191,1428
12889,12191,1235
12892,12191,1390
13204,12191,849
14107,12191,1020
14747,12191,1894
10397,12197,780
13204,12197,972
13930,12197,738
12266,12206,295
10397,12217,151
12266,12217,595
11292,12255,298
10397,12264,534
11292,12264,1452
11298,12264,1172
11618,12264,212
12266,12264,1190
12478,12264,228
12889,12264,2065
12892,12264,2288
13204,12264,758
13303,12264,921
13930,12264,588
14107,12264,1956
14747,12264,2306
14771,12264,2419
13204,12265,1021
10397,12266,689
11057,12266,912
11292,12266,862
11298,12266,224
11618,12266,1400
12889,12266,1222
12892,12266,1379
13204,12266,854
13303,12266,964
13930,12266,925
14107,12266,1009
14747,12266,1874
14771,12266,1635
10397,12278,782
11292,12278,420
11298,12278,328
12266,12278,542
12889,12278,986
13930,12278,588
14107,12278,870
11292,12280,458
10397,12323,377
11057,12323,185
10397,12339,432
11057,12339,427
11292,12339,977
11298,12339,761
11618,12339,645
12266,12339,844
12889,12339,1590
12892,12339,1814
13204,12339,829
13930,12339,177
14107,12339,1488
14771,12339,1943
11292,12389,576
13204,12391,971
12892,12402,2449
10397,12441,1572
11292,12441,406
11298,12441,1047
11618,12441,1874
12266,12441,1265
12478,12441,1894
12892,12441,784
13930,12441,1162
14747,12441,621
14771,12441,737
10397,12448,341
11298,12448,408
12266,12448,351
13930,12448,677
10397,12451,270
11057,12451,328
11292,12451,1447
11298,12451,918
11618,12451,820
12266,12451,817
12478,12451,828
13930,12451,864
10397,12478,760
11057,12478,541
11292,12478,1626
11298,12478,1391
12889,12478,2248
12892,12478,2475
13204,12478,944
13303,12478,1089
13930,12478,740
14107,12478,2153
14747,12478,2422
14771,12478,2586
11292,12519,573
14747,12523,909
11292,12758,3329
11298,12758,3724
12892,12758,2504
14107,12758,2860
14747,12758,2688
14771,12758,2367
14747,12819,680
13930,12884,179
11292,12888,113
10397,12889,1747
11057,12889,1916
11292,12889,628
11298,12889,1055
11618,12889,2227
12266,12889,1222
12478,12889,2248
12892,12889,236
13204,12889,2039
13303,12889,2174
13930,12889,1514
14107,12889,255
14747,12889,867
14771,12889,414
11298,12891,140
10397,12892,1946
11057,12892,2125
11292,12892,862
11298,12892,1235
11618,12892,2454
12266,12892,1379
12478,12892,2475
12889,12892,236
13204,12892,2218
13303,12892,2342
13930,12892,1744
14107,12892,370
14747,12892,954
14771,12892,337
11292,12896,456
11298,12896,282
12266,12896,458
12889,12896,775
14107,12896,588
13204,12898,823
11298,12915,295
12266,12915,127
10397,12945,304
11618,12945,588
12266,12945,828
13930,12945,323
10397,12951,503
11298,12951,351
12266,12951,201
10397,12953,762
11057,12953,544
11292,12953,1620
11298,12953,1389
12266,12953,1416
13204,12953,950
13303,12953,1096
13930,12953,733
12478,12954,2465
12889,12954,231
14747,12954,965
14771,12954,354
11292,12982,3414
12892,12982,2615
14107,12982,2979
14747,12982,2701
14771,12982,2447
10397,12992,453
11292,12992,771
11298,12992,304
12266,12992,374
12889,12992,1294
13930,12992,552
14107,12992,1136
10397,13029,841
11292,13029,423
13930,13029,466
11298,13061,396
12266,13061,301
12892,13127,861
11292,13158,563
11298,13158,309
12266,13158,429
12889,13158,795
14107,13158,581
13930,13184,222
10397,13198,692
11057,13198,808
11292,13198,533
11298,13198,460
11618,13198,1092
12266,13198,643
12889,13198,1139
12892,13198,1363
13204,13198,1072
13303,13198,1251
